"","album_num_tracks","weeks_on_chart","streams","danceability","energy","key","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration","days_since_release","rank"
"1",1,4,11430518,0.789,0.536,6,-6.862,0.242,0.41,0,0.129,0.437,81.039,165926,27,2
"2",3,6,9256554,0.61,0.508,8,-6.682,0.152,0.297,0,0.384,0.758,178.818,137876,36,3
"3",1,1,9162142,0.634,0.285,9,-14.007,0.0807,0.937,0.000359,0.232,0.203,129.65,245897,7,4
"4",1,5,6896410,0.439,0.61,9,-7.236,0.116,0.593,1.07e-05,0.341,0.172,181.088,215508,35,7
"5",1,13,6250603,0.778,0.695,4,-6.865,0.0913,0.175,0,0.15,0.472,149.996,132780,699,8
"6",8,13,5334342,0.449,0.465,0,-8.964,0.0791,0.524,1.02e-06,0.303,0.543,89.087,198371,405,10
"7",2,13,5126857,0.868,0.795,11,-6.044,0.269,0.0012,0.0193,0.0461,0.819,166,156945,91,12
"8",18,23,5031102,0.761,0.525,11,-6.9,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,238805,273,13
"9",13,12,4456837,0.653,0.524,11,-9.016,0.0502,0.112,0,0.203,0.553,83.97,160191,153,16
"10",1,17,4444266,0.585,0.436,10,-8.761,0.0601,0.721,1.31e-05,0.105,0.132,143.874,242014,118,17
"11",12,17,4367745,0.749,0.463,11,-8.433,0.0842,0.21,0.0382,0.338,0.189,90.035,226987,546,19
"12",1,19,4267483,0.436,0.655,1,-8.37,0.0583,0.499,8.1e-06,0.688,0.412,121.002,279204,132,21
"13",14,75,3679850,0.514,0.73,1,-5.934,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,200040,412,27
"14",3,9,3456607,0.781,0.594,0,-6.959,0.0485,0.0136,0,0.162,0.0628,129.895,178154,62,30
"15",16,40,3286639,0.832,0.534,1,-7.813,0.253,0.345,0,0.165,0.116,93.924,132833,356,33
"16",16,9,3274776,0.658,0.634,1,-6.068,0.0431,0.0104,0,0.12,0.302,140.002,170813,48,34
"17",14,23,2975906,0.68,0.826,0,-5.487,0.0309,0.0212,1.24e-05,0.543,0.644,118.051,215627,412,39
"18",11,37,2950979,0.612,0.807,10,-2.81,0.0336,0.0495,0.0177,0.101,0.398,124.053,240400,2939,40
"19",17,4,2906344,0.422,0.302,11,-9.214,0.0372,0.629,7.83e-05,0.104,0.123,114.089,248827,1882,41
"20",1,10,2641544,0.879,0.574,10,-5.602,0.391,0.519,8.76e-06,0.144,0.346,144.911,243463,41,47
"21",14,2,2623645,0.888,0.408,8,-10.162,0.487,0.164,0,0.0912,0.742,77.029,176160,553,48
"22",22,25,2519629,0.662,0.413,0,-7.357,0.0299,0.213,0,0.134,0.467,93.005,161385,181,50
"23",23,28,2516901,0.487,0.65,0,-5.195,0.0253,0.191,0,0.0933,0.456,151.964,232533,195,51
"24",19,36,2467737,0.709,0.548,10,-8.493,0.353,0.65,1.59e-06,0.133,0.543,83.995,160000,307,53
"25",14,27,2466316,0.83,0.585,0,-6.476,0.094,0.237,0,0.248,0.485,109.978,173711,188,54
"26",22,43,2401155,0.65,0.613,9,-6.13,0.128,0.00336,0,0.267,0.0804,149.972,194621,300,60
"27",17,88,2375226,0.695,0.762,0,-3.497,0.0395,0.192,0.00244,0.0863,0.553,120.042,215280,608,62
"28",17,158,2364846,0.671,0.529,0,-7.226,0.307,0.0769,0.000335,0.0856,0.203,161.989,165820,878,63
"29",12,77,2316653,0.548,0.816,0,-4.209,0.0465,0.122,0,0.335,0.557,95.39,174000,510,64
"30",1,25,2315828,0.889,0.34,11,-7.773,0.0697,0.218,0.13,0.055,0.716,94.009,174321,175,65
"31",26,12,2295493,0.453,0.35,9,-11.639,0.0425,0.827,0.00122,0.144,0.279,72.017,185147,175,67
"32",17,157,2289936,0.511,0.566,6,-7.23,0.2,0.349,0,0.34,0.218,83.903,239836,878,68
"33",26,5,2288981,0.66,0.817,11,-6.269,0.0521,0.162,0,0.0667,0.714,135.942,277592,27,69
"34",10,7,2265321,0.498,0.59,1,-4.721,0.032,0.511,0,0.107,0.0784,145.867,217867,3866,70
"35",13,169,2251098,0.692,0.521,10,-8.465,0.33,0.301,0,0.0565,0.463,100.45,292987,2340,72
"36",58,35,2250103,0.828,0.492,0,-9.744,0.0276,0.0644,0.00428,0.128,0.789,120.151,257800,16162,73
"37",9,8,2225525,0.637,0.929,4,-3.593,0.0491,0.00166999999999999,2.62e-05,0.344,0.902,80.974,147351,447,74
"38",19,12,2198233,0.722,0.588,6,-5.932,0.0544,0.0319,0,0.183,0.59,134.01,165507,84,76
"39",1,16,2184191,0.798,0.62,8,-7.079,0.232,0.414,0.0192,0.112,0.235,120.031,164000,232,78
"40",10,2,2168897,0.346,0.944,9,-9.874,0.0485,4.16e-05,0.565,0.0546,0.403,179.63,147036,2188,79
"41",14,28,2162361,0.737,0.802,0,-4.771,0.0878,0.468,0,0.0931,0.682,144.015,172325,188,80
"42",12,106,2118687,0.501,0.405,1,-5.679,0.0319,0.751,0,0.105,0.446,109.891,182161,720,82
"43",15,65,2095007,0.774,0.554,0,-7.909,0.0383,0.207,0,0.132,0.349,99.034,162547,455,83
"44",11,75,2058836,0.793,0.793,11,-4.521,0.083,0.0123,0,0.0951,0.679,123.95,183290,405,84
"45",1,42,2050816,0.667,0.373,4,-9.389,0.05,0.785,0,0.0906,0.0823,124.148,169266,384,85
"46",22,116,2025309,0.685,0.692,2,-5.122,0.0457,0.328,0,0.153,0.578,159.966,240051,790,87
"47",13,5,2016927,0.519,0.552,2,-5.023,0.0259,0.18,0,0.149,0.331,89.957,215141,321,88
"48",16,18,2014965,0.685,0.521,2,-8.285,0.0345,0.185,3.59e-06,0.111,0.578,115.885,190779,48,89
"49",2,1,2004947,0.7,0.664,7,-8.211,0.0394,0.306,1.89e-05,0.249,0.585,142.009,223066,6,90
